AuthorID,Author,Date,Content,Attachments,Reactions
"951696973164064779","arsh_0.0_","2024-10-08T07:52:19.6890000-05:00","https://www.theglobeandmail.com/world/article-canadas-geoffrey-hinton-ai-pioneer-co-wins-nobel-prize-in-physics-with/","",""
"951696973164064779","arsh_0.0_","2024-10-08T07:53:43.4620000-05:00","Wow! computer scientists won Nobel Prize in Physics","",""
"747395140926177280","comtdk","2024-10-08T08:13:39.7830000-05:00",":why_kong_wario: 🙉","",""
"854062130797871106","calebnwokocha","2024-10-08T09:27:16.9810000-05:00","https://www.youtube.com/watch?v=g1Z5wAYv8i8&t=272s","",""
"304267855610904577","jjanzenn","2024-10-08T09:35:29.2910000-05:00","That algorithm is not in NP or P","",""
"304267855610904577","jjanzenn","2024-10-08T09:40:01.8730000-05:00","Your verification algorithm does not check whether the certificate is a valid certificate for the problem instance","",""
"304267855610904577","jjanzenn","2024-10-08T09:43:15.8000000-05:00","To check that the last number that is printed is 2^k and that it is a valid certificate, you need to check each k, k+1, ..., 2^k is also printed","",""
"383088370709954561","2lazy2beoriginal","2024-10-08T09:44:09.8210000-05:00","It’s not n! At least","",""
"854062130797871106","calebnwokocha","2024-10-08T09:56:29.7130000-05:00","@jacob ""first year"" janzen The claim that the algorithm is not in NP or P and that the verification algorithm does not check whether the certificate is valid for the problem instance is incorrect. 

Problem Definition: In the context of NP, a problem is classified in NP if its solution (or certificate) can be verified in polynomial time. The task here is to count from k to 2^k, and the certificate is the output sequence where the last value must be 2^k.

Verification Step: The verification algorithm checks if the last printed value is 2^k. This check is sufficient because the algorithm is deterministic: if the last value is correct and the counting logic is correct, all intermediate values k, k+1, ..., 2^k are guaranteed to have been printed. There's no need to verify each intermediate value separately because the counting process itself ensures their correctness.

Complexity Class: The verification step, which compares the last printed value to 2^k, runs in constant time O(1), placing this problem in NP. The counting process, although exponential, does not disqualify the problem from NP, as NP problems can have exponential complexity but still be verifiable in polynomial time.

Thus, the problem is indeed in NP, and the verification algorithm correctly checks the validity of the certificate.","",""
"304267855610904577","jjanzenn","2024-10-08T09:58:57.3470000-05:00","I mean go off and collect your millenium prize or whatever, but I can assure you no journal will accept your proof because it is incorrect. You do not have a valid verification algorithm and the problem is *not* in NP","",""
"304267855610904577","jjanzenn","2024-10-08T10:01:27.2970000-05:00","See https://discord.com/channels/724363919035990106/785653516965380146/1288972132071637117 for ChatGPT ""proving"" the exact opposite result. ChatGPT is terrible at math and will not be a reliable source for computational complexity results.","",""
"505495864777768970","_swigg","2024-10-08T10:16:43.0480000-05:00","I think you're confusing solving time vs. verification time","",""
"505495864777768970","_swigg","2024-10-08T10:17:33.4160000-05:00","sure the last check is a constant O(1) expression, but NP means it is *solvable* in polynomial time, not that the solution can be verified in polynomial time","",""
"505495864777768970","_swigg","2024-10-08T10:18:00.5070000-05:00","unless you're arguing that it takes 2^k time to run","",""
"304267855610904577","jjanzenn","2024-10-08T10:18:00.8320000-05:00","NP means solvable in polynomial time *with* a non-deterministic Turing machine, so not quite","","👍 (1)"
"505495864777768970","_swigg","2024-10-08T10:18:51.5530000-05:00","anw I wouldn't count on chatgpt to prove anything","",""
"304267855610904577","jjanzenn","2024-10-08T10:19:07.4710000-05:00","this is equivalent to being verifiable in polynomial time","",""
"505495864777768970","_swigg","2024-10-08T10:19:10.2570000-05:00","chatgpt fails at basic multiplication sometimes","",""
